Name	Acronym	Taxonomic Status (Family or Genus)	Recommended Biosafety Level	Basis of Rating	Antigenic Group	HEPA Filtration on Lab Exhaust
Abras 	ABRV 	Orthobunvavarus 	2	A7 	Patois 	No
Absettarov 	ABSV 	Flavivirus 	4	A4 	B^f 	Yes
Abu Hammad 	AHV 	Nairovirus 	2	S 	Dera Ghazi Khan 	No
Acado 	ACDV 	Orbivirus 	2	S 	Corriparta 	No
Acara 	ACAV 	Orthobunyavirus 	2	S 	Capim 	No
Adelaide River 	ARV 	Lyssavirus 	2	IE 	Bovine Ephemeral Fever 	No
African Horse ickness 	AHSV 	Orbivirus 	3^c 	A1 	African Horsesickness 	Yes
African SwineFever 	ASFV 	Asfivirus 	3^c 	IE 	Asfivirus 	Yes
Aguacate 	AGUV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Aino 	AINOV 	Orthobunyavirus 	2	S 	Simbu 	No
Akabane 	AKAV 	Orthobunyavirus 	3^c 	S 	Simbu 	Yes
Alenquer 	ALEV 	Phlebovirus 	2	IE 	Phlebotomus Fever	No
Alfuy 	ALFV 	Flavivirus 	2	S 	B^f 	No
Alkhumra 	ALKV 	Flavivirus 	4	A4 	B^f 	Yes
Allpahuayo 	ALLPV 	Arenavirus 	3	IE 	Tacaribe 	No
Almeirim 	ALMV 	Orbivirus 	2	IE 	Changuinola 	No
Almpiwar 	ALMV 	Rhabdoviridae 	2	S 		No
Altamira 	ALTV 	Orbivirus 	2	IE 	Changuinola 	No
Amapari 	AMAV 	Arenavirus 	2	A5 	Tacaribe 	No
Ambe 	AMBEV 	Phlebovirus 	2	IE 		No
Ananindeua 	ANUV 	Orthobunyavirus 	2	A7 	Guama 	No
Andasibe 	ANDV 	Orbivirus 	2	A7 		No
Andes 	ANDV 	Hantavirus 	3^a 	IE 	Hantaan 	No
Anhanga 	ANHV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Anhembi 	AMBV 	Orthobunyavirus 	2	S 	Bunyamwera 	No
Anopheles A 	ANAV 	Orthobunyavirus 	2	S 	Anopheles A 	No
Anopheles B 	ANBV 	Orthobunyavirus 	2	S 	Anopheles B 	No
Antequera 	ANTV 	Bunyaviridae 	2	IE 	Resistencia 	No
Apeu 	APEUV 	Orthobunyavirus 	2	S 	C^f 	No
Apoi 	APOIV 	Flavivirus 	2	S 	B^f 	No
Araguari 	ARAV 	Unassigned 	3	IE 		No
Aransas Bay 	ABV 	Bunyaviridae 	2	IE 	UPOLU 	No
Arbia 	ARBV 	Phlebovirus 	2	IE 	Phlebotomus Fever	No
Arboledas 	ADSV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Aride 	ARIV 	Unassigned 	2	S 		No
Ariquemes 	ARQV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Arkonam 	ARKV 	Orbivirus 	2	S 	leri 	No
Armero 	ARMV 	Phlebovirus 	2	A7 	Phlebotomus Fever	No
Aroa 	AROAV 	Flavivirus 	2	S 	B^f 	No
Aruac 	ARUV 	Rhabdoviridae 	2	S 		No
Arumateua 	ARMTV 	Orthobunyavirus 	2	A7 		No
Arumowot 	AMTV 	Phlebovirus 	2	S 	Phlebotomus Fever	No
Aura 	AURAV 	Alphavirus 	2	S 	A^f 	No
Avalon 	AVAV 	Nairovirus 	2	S 	Sakhalin 	No
Babahoyo 	BABV 	Orthobunyavirus 	2	A7 	Patois 	No
Babanki 	BBKV 	Alphavirus 	2	A7 	A^f 	No
Bagaza 	BAGV 	Flavivirus 	2	S 	B^f 	No
Bahig 	BAHV 	Orthobunyavirus 	2	S 	Tete 	No
Bakau 	BAKV 	Orthobunyavirus 	2	S 	Bakau 	No
Baku 	BAKUV 	Orbivirus 	2	S 	Kemerovo 	No
