Species	Species.classification	N	Country
abiotrophia defectiva	Bacteria	1	united kingdom
acanthamoeba castellanii	Protozoa	3	united states; united kingdom; taiwan
acanthamoeba culbertsoni	Protozoa	1	united states
acanthamoeba lenticulata	Protozoa	3	south africa; taiwan; france
acanthamoeba polyphaga	Protozoa	5	germany; taiwan; united kingdom; japan; united states
achromobacter denitrificans	Bacteria	3	india; italy; china
achromobacter piechaudii	Bacteria	2	iran; china
achromobacter xylosoxidans	Bacteria	18	india; denmark; argentina; united kingdom; portugal; russia; hungary; iran; uruguay; italy; germany; japan; china; czech republic; thailand; united states; belgium; slovakia
acinetobacter baumannii	Bacteria	35	kenya; finland; iran; italy; sweden; chile; united states; south korea; haiti; greece; japan; china; france; colombia; poland; thailand; united kingdom; brazil; norway; malaysia; india; tunisia; iraq; ireland; turkey; singapore; australia; germany; argentina; lithuania; russia; canada; portugal; taiwan; hong kong
acinetobacter berezinae	Bacteria	1	portugal
acinetobacter calcoaceticus	Bacteria	12	finland; sweden; mali; china; slovakia; thailand; united kingdom; india; saudi arabia; kyrgyzstan; spain; malaysia
acinetobacter haemolyticus	Bacteria	2	india; brazil
acinetobacter johnsonii	Bacteria	9	china; germany; spain; india; brazil; japan; mexico; greece; malaysia
acinetobacter junii	Bacteria	9	china; argentina; taiwan; mexico; india; japan; ukraine; austria; brazil
acinetobacter lwoffii	Bacteria	14	israel; india; japan; netherlands; thailand; poland; china; mexico; france; spain; taiwan; russia; united kingdom; ukraine
acinetobacter parvus	Bacteria	2	canada; czech republic
acinetobacter radioresistens	Bacteria	5	france; india; iraq; malaysia; italy
acinetobacter ursingii	Bacteria	3	india; czech republic; canada
acremonium strictum	Fungi	10	australia; spain; mexico; united states; austria; china; india; brazil; belgium; sweden
actinobacillus pleuropneumoniae	Bacteria	6	japan; taiwan; denmark; switzerland; china; canada
actinobaculum schaalii	Bacteria	2	canada; netherlands
actinomadura madurae	Bacteria	1	china
actinomucor elegans	Fungi	4	china; czech republic; south africa; united states
actinomyces funkei	Bacteria	1	switzerland
actinomyces georgiae	Bacteria	1	switzerland
actinomyces graevenitzii	Bacteria	1	japan
actinomyces naeslundii	Bacteria	3	united kingdom; sweden; united states
actinomyces oricola	Bacteria	1	united kingdom
actinomyces oris	Bacteria	4	argentina; united states; sweden; united kingdom
adlercreutzia equolifaciens	Bacteria	1	japan
aedes aegypti	Arthropod	35	thailand; india; french southern territories; vietnam; gabon; argentina; united kingdom; mozambique; guadeloupe; cambodia; united states; brazil; french guiana; martinique; reunion; french polynesia; ivory coast; saudi arabia; guinea; madagascar; australia; tanzania; taiwan; china; cuba; malaysia; peru; singapore; mexico; myanmar; new caledonia; trinidad and tobago; panama; puerto rico; maldives
aerococcus viridans	Bacteria	6	hungary; india; iran; slovakia; united states; china
aeromonas aquariorum	Bacteria	5	australia; israel; portugal; south korea; china
aeromonas bestiarum	Bacteria	8	antarctica; switzerland; spain; france; united states; germany; australia; finland
aeromonas caviae	Bacteria	9	india; canada; portugal; brazil; japan; france; china; australia; taiwan
aeromonas enteropelogenes	Bacteria	2	portugal; india
aeromonas hydrophila	Bacteria	29	india; japan; portugal; thailand; australia; germany; greece; mexico; finland; colombia; bangladesh; china; norway; switzerland; spain; malaysia; united states; brazil; france; sweden; israel; singapore; united kingdom; iran; morocco; canada; russia; taiwan; egypt
aeromonas salmonicida	Bacteria	22	india; denmark; norway; australia; united kingdom; switzerland; greece; germany; ireland; portugal; south korea; spain; russia; united states; finland; israel; china; lithuania; japan; turkey; canada; chile
aeromonas sobria	Bacteria	6	india; japan; lithuania; china; hungary; spain
aeromonas tecta	Bacteria	3	malaysia; spain; switzerland
aeromonas veronii	Bacteria	19	india; japan; united kingdom; china; mexico; portugal; brazil; united states; iran; france; south korea; israel; australia; malaysia; spain; bangladesh; south africa; singapore; hungary
aggregatibacter actinomycetemcomitans	Bacteria	4	france; united states; ireland; japan
aggregatibacter aphrophilus	Bacteria	1	denmark
aggregatibacter segnis	Bacteria	2	denmark; sweden
agrobacterium larrymoorei	Bacteria	2	latvia; united states
agrobacterium rhizogenes	Bacteria	5	spain; japan; poland; brazil; morocco
agrobacterium tumefaciens	Bacteria	25	spain; france; chile; mexico; germany; australia; united states; russia; china; japan; poland; denmark; united kingdom; india; tunisia; south africa; algeria; cuba; egypt; morocco; bahamas; belgium; israel; thailand; kuwait
agrococcus baldri	Bacteria	1	austria
aichi virus	Virus	9	tunisia; bangladesh; japan; germany; china; france; brazil; australia; india
ajellomyces capsulatus	Fungi	24	uganda; japan; guinea; australia; brazil; mexico; united kingdom; panama; colombia; united states; china; thailand; guatemala; south africa; ecuador; argentina; indonesia; egypt; india; belgium; poland; nigeria; senegal; puerto rico
ajellomyces dermatitidis	Fungi	2	united states; canada
alloiococcus otitis	Bacteria	1	switzerland
alternaria alternata	Fungi	24	china; india; australia; switzerland; japan; spain; chile; antarctica; oman; united kingdom; united states; iran; puerto rico; italy; ecuador; sweden; austria; israel; brazil; mexico; saudi arabia; lithuania; greenland; czech republic
alternaria triticina	Fungi	1	iran
amblyomma dubitatum	Arthropod	3	uruguay; brazil; argentina
amblyomma tapirellum	Arthropod	1	panama
anaerostipes caccae	Bacteria	2	japan; sweden
anaplasma ovis	Bacteria	7	spain; united states; hungary; south africa; china; cyprus; turkey
anaplasma phagocytophilum	Bacteria	28	belarus; cyprus; tunisia; lithuania; united kingdom; japan; russia; turkey; italy; czech republic; poland; spain; united states; denmark; switzerland; china; slovenia; austria; albania; south korea; france; germany; estonia; argentina; latvia; norway; egypt; sweden
ancylostoma caninum	Helminth	2	laos; australia
ancylostoma ceylanicum	Helminth	4	malaysia; japan; laos; australia
ancylostoma duodenale	Helminth	4	tanzania; china; laos; australia
andes virus	Virus	7	brazil; venezuela; chile; paraguay; argentina; uruguay; bolivia
angiostrongylus cantonensis	Helminth	10	china; japan; spain; united states; brazil; taiwan; maldives; australia; french polynesia; reunion
angiostrongylus costaricensis	Helminth	2	costa rica; brazil
anisakis physeteris	Helminth	3	brazil; japan; italy
anisakis simplex	Helminth	10	poland; japan; south korea; united states; portugal; turkey; denmark; norway; greenland; spain
anoxybacillus pushchinoensis	Bacteria	3	turkey; tunisia; japan
apophysomyces elegans	Fungi	1	india
aquamicrobium lusatiense	Bacteria	2	russia; germany
arcanobacterium pyogenes	Bacteria	1	brazil
arcobacter butzleri	Bacteria	5	thailand; china; united states; spain; japan
arcobacter cryaerophilus	Bacteria	5	canada; united kingdom; ireland; china; belgium
arthrobacter creatinolyticus	Bacteria	2	canada; india
arthrobacter woluwensis	Bacteria	1	south korea
arthroderma benhamiae	Fungi	11	netherlands; united kingdom; kenya; belgium; iran; germany; japan; china; australia; new zealand; spain
arthroderma fulvum	Fungi	3	india; hungary; iran
arthroderma grubyi	Fungi	4	china; united states; canada; france
arthroderma gypseum	Fungi	7	iran; australia; oman; japan; brazil; switzerland; italy
arthroderma otae	Fungi	9	china; oman; costa rica; belgium; japan; brazil; united kingdom; iran; italy
arthroderma simii	Fungi	3	india; australia; japan
arthroderma vanbreuseghemii	Fungi	5	china; india; united kingdom; japan; iran
