Cargo	Cargo.classification	N	Carriers
abiotrophia defectiva	Bacteria	1	homo sapiens
acanthamoeba astronyxis	Protozoa	1	homo sapiens
acanthamoeba castellanii	Protozoa	1	homo sapiens
acanthamoeba culbertsoni	Protozoa	1	homo sapiens
acanthamoeba hatchetti	Protozoa	1	homo sapiens
acanthamoeba lenticulata	Protozoa	1	homo sapiens
acanthamoeba polyphaga	Protozoa	1	homo sapiens
achromobacter denitrificans	Bacteria	2	achromobacter xylosoxidans; homo sapiens
achromobacter piechaudii	Bacteria	4	glomus intraradices; homo sapiens; nepenthes mirabilis; thorectes lusitanicus
achromobacter xylosoxidans	Bacteria	14	brassica rapa; bursaphelenchus mucronatus; clitoria ternatea; glomus intraradices; hedera helix; homo sapiens; larimichthys crocea; porphyra yezoensis; prosopis juliflora; prosopis strombulifera; solenopsis invicta; turdus merula; vigna mungo; zea mays
acidaminococcus fermentans	Bacteria	2	capra hircus; homo sapiens
acinetobacter baumannii	Bacteria	10	bos taurus; capsicum annuum; centella asiatica; culex quinquefasciatus; equus caballus; homo sapiens; ictalurus punctatus; musa acuminata; scylla paramamosain; zea mays
acinetobacter berezinae	Bacteria	1	homo sapiens
acinetobacter calcoaceticus	Bacteria	16	apis mellifera; avena sativa; betula pendula; culex quinquefasciatus; gynura procumbens; helicoverpa armigera; homo sapiens; lantana camara; musca domestica; phaseolus vulgaris; plantago lanceolata; plectranthus barbatus; solanum nigrum; sorbus aucuparia; turbo kenwilliamsi; zingiber officinale
acinetobacter haemolyticus	Bacteria	5	anopheles stephensi; homo sapiens; leptinotarsa decemlineata; musca domestica; phaseolus vulgaris
acinetobacter johnsonii	Bacteria	8	anopheles stephensi; beta vulgaris; homo sapiens; populus euphratica; takifugu rubripes; taxus globosa; tectona grandis; ulva rigida
acinetobacter junii	Bacteria	12	acipenser schrenckii; apocynum venetum; culex quinquefasciatus; cyprinus carpio; homo sapiens; ictalurus punctatus; kareius bicoloratus; nicotiana attenuata; oreochromis niloticus; pandora neoaphidis; pandora nouryi; ulva rigida
acinetobacter lwoffii	Bacteria	13	anopheles stephensi; culex quinquefasciatus; dendroctonus rhizophagus; dendroctonus valens; echinacea angustifolia; homo sapiens; moschus berezovskii; musa acuminata; populus euphratica; takifugu rubripes; taxus globosa; ulva australis; zea mays
