n	pathogen	note	group	category
1	Bacillus anthracis	anthrax		Category A Priority Pathogens
2	Clostridium botulinum toxin	botulism		Category A Priority Pathogens
3	Yersinia pestis	plague		Category A Priority Pathogens
4	Variola major	smallpox		Category A Priority Pathogens
5	other related pox viruses			Category A Priority Pathogens
6	Francisella tularensis	tularemia		Category A Priority Pathogens
7	Junin		Viral hemorrhagic fevers; Arenaviruses	Category A Priority Pathogens
8	Machupo		Viral hemorrhagic fevers; Arenaviruses	Category A Priority Pathogens
9	Guanarito		Viral hemorrhagic fevers; Arenaviruses	Category A Priority Pathogens
10	Chapare	new in fiscal year (FY) 14	Viral hemorrhagic fevers; Arenaviruses	Category A Priority Pathogens
11	Lassa		Viral hemorrhagic fevers; Arenaviruses	Category A Priority Pathogens
12	Lujo	new in FY 14	Viral hemorrhagic fevers; Arenaviruses	Category A Priority Pathogens
13	Hantaviruses causing Hanta Pulmonary syndrome		Viral hemorrhagic fevers; Bunyaviruses	Category A Priority Pathogens
14	Rift Valley Fever		Viral hemorrhagic fevers; Bunyaviruses	Category A Priority Pathogens
15	Crimean Congo Hemorrhagic Fever		Viral hemorrhagic fevers; Bunyaviruses	Category A Priority Pathogens
16	Dengue		Viral hemorrhagic fevers; Flaviruses	Category A Priority Pathogens
17	Ebola		Viral hemorrhagic fevers; Filoviruses	Category A Priority Pathogens
18	Marburg		Viral hemorrhagic fevers; Filoviruses	Category A Priority Pathogens
19	Burkholderia pseudomallei	melioidosis		Category B Priority Pathogens
20	Coxiella burnetii	Q fever		Category B Priority Pathogens
21	Brucella species	brucellosis		Category B Priority Pathogens
22	Burkholderia mallei	glanders		Category B Priority Pathogens
23	Chlamydia psittaci	Psittacosis		Category B Priority Pathogens
24	Ricin toxin	Ricinus communis		Category B Priority Pathogens
25	Epsilon toxin	Clostridium perfringens		Category B Priority Pathogens
26	Staphylococcus enterotoxin B	SEB		Category B Priority Pathogens
27	Typhus fever	Rickettsia prowazekii		Category B Priority Pathogens
28	Diarrheagenic E.coli		Food- and waterborne pathogens; Bacteria	Category B Priority Pathogens
29	Pathogenic Vibrios		Food- and waterborne pathogens; Bacteria	Category B Priority Pathogens
30	Shigella species		Food- and waterborne pathogens; Bacteria	Category B Priority Pathogens
31	Salmonella		Food- and waterborne pathogens; Bacteria	Category B Priority Pathogens
32	Listeria monocytogenes		Food- and waterborne pathogens; Bacteria	Category B Priority Pathogens
33	Campylobacter jejuni		Food- and waterborne pathogens; Bacteria	Category B Priority Pathogens
34	Yersinia enterocolitica		Food- and waterborne pathogens; Bacteria	Category B Priority Pathogens
35	Caliciviruses		Food- and waterborne pathogens; Viruses	Category B Priority Pathogens
36	Hepatitis A		Food- and waterborne pathogens; Viruses	Category B Priority Pathogens
37	Cryptosporidium parvum		Food- and waterborne pathogens; Protozoa	Category B Priority Pathogens
38	Cyclospora cayatanensis		Food- and waterborne pathogens; Protozoa	Category B Priority Pathogens
39	Giardia lamblia		Food- and waterborne pathogens; Protozoa	Category B Priority Pathogens
40	Entamoeba histolytica		Food- and waterborne pathogens; Protozoa	Category B Priority Pathogens
41	Toxoplasma gondii		Food- and waterborne pathogens; Protozoa	Category B Priority Pathogens
42	Naegleria fowleri	new in FY 14	Food- and waterborne pathogens; Protozoa	Category B Priority Pathogens
43	Balamuthia mandrillaris	new in FY 14	Food- and waterborne pathogens; Protozoa	Category B Priority Pathogens
44	Microsporidia		Food- and waterborne pathogens; Fungi	Category B Priority Pathogens
45	West Nile virus	WNV	Mosquito-borne encephalitis viruses	Category B Priority Pathogens
46	LaCrosse encephalitis	LACV	Mosquito-borne encephalitis viruses	Category B Priority Pathogens
47	California encephalitis		Mosquito-borne encephalitis viruses	Category B Priority Pathogens
48	Venezuelan equine encephalitis	VEE	Mosquito-borne encephalitis viruses	Category B Priority Pathogens
49	Eastern equine encephalitis	EEE	Mosquito-borne encephalitis viruses	Category B Priority Pathogens
50	Western equine encephalitis	WEE	Mosquito-borne encephalitis viruses	Category B Priority Pathogens
51	Japanese encephalitis virus	JE	Mosquito-borne encephalitis viruses	Category B Priority Pathogens
52	St. Louis encephalitis virus	SLEV	Mosquito-borne encephalitis viruses	Category B Priority Pathogens
53	Nipah			Category C Priority Pathogens
54	Hendra viruses			Category C Priority Pathogens
55	Additional hantaviruses			Category C Priority Pathogens
56	Severe Fever with Thrombocytopenia Syndrome virus	SFTSV	Tickborne hemorrhagic fever viruses; Bunyaviruses	Category C Priority Pathogens
57	Heartland virus		Tickborne hemorrhagic fever viruses; Bunyaviruses	Category C Priority Pathogens
58	Omsk Hemorrhagic Fever virus		Tickborne hemorrhagic fever viruses; Flaviruses	Category C Priority Pathogens
