pathogen	url
Actinobacillus spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/actinobacillus-eng.php
Actinomyces spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds2e-eng.php
Adenovirus (types 1, 2, 3, 4, 5 and 7)	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds3e-eng.php
Adenovirus (types 40 and 41)	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/adenovirus-eng.php
Aerococcus spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/aerococcus-eng.php
Aeromonas hydrophila	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/aeromonas-hydrophila-eng.php
Ancylostoma duodenale	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/ancylostoma-duodenale-eng.php
Angiostrongylus cantonensis	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/acantonensis-eng.php
Ascaris spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds10e-eng.php
Aspergillus spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/aspergillus-spp-eng.php
Bacillus anthracis	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds12e-eng.php
Bacillus cereus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/bacillus-cereus-eng.php
Bacteroides spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/bacteroides-eng.php
Balantidium coli	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds15e-eng.php
Bartonella bacilliformis	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/bartonella-bacilliformis-eng.php
Bartonella henselae	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/bartonella-henselae-eng.php
Bartonella quintana	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/bartonella-quintana-eng.php
Blastomyces dermatitidis	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/blastomyces-dermatitidis-eng.php
Bordetella bronchiseptica	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/bordetella-bronchiseptica-eng.php
Bordetella pertussis	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/bordetella-pertussis-eng.php
Borrelia burgdorferi	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds21e-eng.php
Bovine Spongiform Encephalopathy Agent (External link)	http://www.phac-aspc.gc.cahttp://www.inspection.gc.ca/english/anima/disemala/bseesb/bseesbe.shtml
Branhamella catarrhalis	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds22e-eng.php
