subheading	Pathogen 	Disease 	Tick vectors 	Geographical distribution 	Host species affected 	References 
Protozoa	Babesia beliceri 		Hyalomma spp. 	Russia 	Cattle 	1
Protozoa	Babesia bigemina 	Cattle babesiosis 	Boophilus spp., Rhipicephalus spp. 	Africa, America, Asia, Australia 	Cattle, buffalo 	1
Protozoa	Babesia bovis 	Cattle babesiosis 	Boophilus spp. 	Africa, America, Asia, Australia 	Cattle, buffalo 	1
Protozoa	Babesia major 	Cattle babesiosis 	Haemaphysalis spp. 	Europe 	Cattle 	1
Protozoa	Babesia ovata 		Haemaphysalis spp. 	Asia 	Cattle 	1
Protozoa	Babesia occultans 		Hyalomma spp. 	Africa 	Cattle 	1
Protozoa	Babesia divergens 	Cattle babesiosis 	Ixodes spp. 	Europe 	Cattle, Human^2 	1
Protozoa	Babesia microti		Ixodes scapularis 	USA, Canada 	Human, rodents 	1
Protozoa	Babesia canis 	Dog babesiosis 	Rhipicephalus sanguineus, Dermacentor reticulatus, D. marginatus 	Tropical and semitropical worldwide 	Dogs 	1, 2, 3 
Protozoa	Babesia vogeli	Dog babesiosis 	Rhipicephalus sanguineus 	Tropical and semitropical worldwide 	Dogs 	1
Protozoa	Babesia rossi	Dog babesiosis 	Haemaphysalis leachi 	Southern Africa 	Dogs 	1, 2 
Protozoa	Babesia gibsoni 	Dog babesiosis 	Haemaphysalis bispinosa, H. longicornis, Rhipicephalus sanguineus 	Africa, Asia, USA, southern Europe 	Dogs 	1, 2, 3 
Protozoa	Babesia ovis 	Sheep babesiosis 	Rhipicephalus bursa, R. turanicus 	Africa, Asia, Europe 	Sheep 	1
Protozoa	Babesia motasi 	Sheep babesiosis 	Haemaphysalis spp. 	Africa, Asia, Europe 	Sheep 	1
Protozoa	Babesia caballi 	Horse babesiosis 	Dermacentor spp., Rhipicephalus evertsi evertsi 	Africa, America, Asia, Europe 	Horses, mules, donkeys 	1, 3 
Protozoa	Babesia felis 		Unknown 	Africa 	Cats 	1
Protozoa	Babesia bicornis 		Unknown 	Southern Africa 	Black rhinoceros (Diceros bicornis) 	5
Protozoa	Babesia odocoilei 		Ixodes scapularis 	America 	Cervidae and wild Bovidae 	6
Protozoa	Theileria annulata 	Tropical theileriosis 	Hyalomma spp. 	Eurasia, Africa, Central Asia 	Cattle, Camels 	7
Protozoa	Theileria orientalis 		Haemaphysalis spp. 	Asia 	Cattle, Asian buffalo 	8
Protozoa	Theileria parva 	East Coast Fever 	Rhipicephalus appendiculatus 	Africa 	Cattle 	9
Protozoa	Theileria lawrencei 	Corridor disease 	Rhipicephalus zambeziensis 	Africa 	Cattle 	10
Protozoa	Theileria velifera 	Apathogenic 	Amblyomma spp. 	Africa 	Cattle, African buffalo 	11
Protozoa	Theileria buffeli 	Apathogenic 	Haemaphysalis spp. 	Asia 	Cattle, Asian buffalo 	11
Protozoa	Theileria mutans 	Benign Theileriosis 	Amblyomma hebraeum, A. lepidum, A. variegaum, A. cohaerens, A. gemma 	Africa 	Cattle 	3, 10 
Protozoa	Theileria taurotragi	Benign Theileriosis 	Rhipicephalus appendiculatus, R. pulchellus, R. zambeziensis 	Africa 	Cattle 	8
Protozoa	Theileria ovis	Sheep theileriosis 	Hyalomma spp., Rhipicephalus bursa 	Africa, Asia 	Sheep 	12
Protozoa	Theileria lestoquardi	Sheep theileriosis 	Hyalomma spp. 	Mediterranean region, Asia, Middle East, India 	Sheep, Goats 	11
Protozoa	Theileria separata 	Non-pathogenic 	Rhipicephalus evertsi 	Sheep, goats 	Africa 	11
Protozoa	Theileria bicornis 	Not named 	Unknown 	Black rhinoceros (Diceros bicornis) 	Southern Africa 	5
