name	taxid	lineage	N	host
Adeno-associated virus - 2	10804	ssDNA viruses; Parvoviridae; Parvovirinae; Dependoparvovirus; Adeno-associated dependoparvovirus A	2	Homo sapiens; Mammalia
Adeno-associated virus - 3	46350	ssDNA viruses; Parvoviridae; Parvovirinae; Dependoparvovirus; Adeno-associated dependoparvovirus A	1	Homo sapiens
Adeno-associated virus - 4	57579	ssDNA viruses; Parvoviridae; Parvovirinae; Dependoparvovirus; Adeno-associated dependoparvovirus A	3	Chlorocebus sabaeus; Homo sapiens; Macaca mulatta
Adeno-associated virus - 5	82300	ssDNA viruses; Parvoviridae; Parvovirinae; Dependoparvovirus; Adeno-associated dependoparvovirus B	1	Homo sapiens
Adult diarrheal rotavirus strain J19	335103	dsRNA viruses; Reoviridae; Sedoreovirinae; Rotavirus; Rotavirus H	1	Homo sapiens
African green monkey simian foamy virus	338079	Retro-transcribing viruses; Retroviridae; Spumaretrovirinae; Spumavirus	2	Chlorocebus aethiops; Homo sapiens
Aichi virus 1	1313215	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Picornavirales; Picornaviridae; Kobuvirus; Aichivirus A	1	Homo sapiens
Alkhumra hemorrhagic fever virus	172148	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Flaviviridae; Flavivirus; tick-borne encephalitis virus group; Kyasanur forest disease virus	1	Homo sapiens
Alphapapillomavirus 3	333767	dsDNA viruses, no RNA stage; Papillomaviridae; Alphapapillomavirus	1	Homo sapiens
Alphapapillomavirus 4	337043	dsDNA viruses, no RNA stage; Papillomaviridae; Alphapapillomavirus	1	Homo sapiens
Alphapapillomavirus 7	337042	dsDNA viruses, no RNA stage; Papillomaviridae; Alphapapillomavirus	1	Homo sapiens
Astrovirus MLB1	568715	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Astroviridae; unclassified Astroviridae	1	Homo sapiens
Astrovirus MLB1 HK05	858367	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Astroviridae; unclassified Astroviridae; Astrovirus MLB1	1	Homo sapiens
Astrovirus MLB2	683172	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Astroviridae; unclassified Astroviridae	1	Homo sapiens
Astrovirus MLB3	1247114	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Astroviridae; unclassified Astroviridae	1	Homo sapiens
